,ID,DateRun,AvgAge,HEX_OID
0,169968,10/12/2016,32.844,1
1,169969,10/12/2016,31.688,2
2,169970,10/12/2016,40.68666667,3
3,169971,10/12/2016,39.984,4
4,169972,10/12/2016,59.415,6
5,169973,10/12/2016,37.4,15
6,169974,10/12/2016,17.22666667,18
7,169975,10/12/2016,15.47,19
8,169976,10/12/2016,22.27,20
9,169977,10/12/2016,26.74666667,23
10,169978,10/12/2016,58.48,28
11,169979,10/12/2016,20.17333333,29
12,169980,10/12/2016,59.5,30
13,169981,10/12/2016,80.92,31
14,169982,10/12/2016,12.58,32
15,169983,10/12/2016,40.12,33
16,169984,10/12/2016,71.06,35
17,169985,10/12/2016,45.22,39
18,169986,10/12/2016,38.19333333,41
19,169987,10/12/2016,29.58,42
20,169988,10/12/2016,42.84,43
21,169989,10/12/2016,10.88,44
22,169990,10/12/2016,40.8,45
23,169991,10/12/2016,42.84,50
24,169992,10/12/2016,42.84,52
25,169993,10/12/2016,27.03,58
26,169994,10/12/2016,34.68,59
27,169995,10/12/2016,35.53,60
28,169996,10/12/2016,10.42666667,62
29,169997,10/12/2016,60.01,63
30,169998,10/12/2016,4.76,64
31,169999,10/12/2016,91.12,67
32,170000,10/12/2016,20.70222222,69
33,170001,10/12/2016,58.70666667,70
34,170002,10/12/2016,96.56,71
35,170003,10/12/2016,12.92,72
36,170004,10/12/2016,19.72,74
37,170005,10/12/2016,123.08,75
38,170006,10/12/2016,63.46666667,82
39,170007,10/12/2016,42.38666667,83
40,170008,10/12/2016,10.37,87
41,170009,10/12/2016,33.32,90
42,170010,10/12/2016,75.96571429,92
43,170011,10/12/2016,62.56,95
44,170012,10/12/2016,61.97714286,96
45,170013,10/12/2016,42.84,97
46,170014,10/12/2016,166.1466667,98
47,170015,10/12/2016,147.56,101
48,170016,10/12/2016,65.80888889,102
49,170017,10/12/2016,39.02153846,103
50,170018,10/12/2016,89.76,105
51,170019,10/12/2016,5.44,106
52,170020,10/12/2016,14.28,107
53,170021,10/12/2016,13.6,108
54,170022,10/12/2016,10.2,109
55,170023,10/12/2016,18.36,111
56,170024,10/12/2016,9.86,112
57,170025,10/12/2016,92.02666667,114
58,170026,10/12/2016,7.48,117
59,170027,10/12/2016,35.36,119
60,170028,10/12/2016,83.64,124
61,170029,10/12/2016,116.7333333,125
62,170030,10/12/2016,44.61555556,126
63,170031,10/12/2016,82.96,127
64,170032,10/12/2016,12.92,128
65,170033,10/12/2016,31.008,129
66,170034,10/12/2016,48.144,130
67,170035,10/12/2016,60.25846154,131
68,170036,10/12/2016,42.84,132
69,170037,10/12/2016,46.92,133
70,170038,10/12/2016,9.86,135
71,170039,10/12/2016,22.21333333,137
72,170040,10/12/2016,13.26,139
73,170041,10/12/2016,28.56,140
74,170042,10/12/2016,52.74857143,141
75,170043,10/12/2016,30.43,142
76,170044,10/12/2016,69.58666667,143
77,170045,10/12/2016,70.72,145
78,170046,10/12/2016,74.23333333,146
79,170047,10/12/2016,72.17714286,148
80,170048,10/12/2016,37.4,149
81,170049,10/12/2016,35.36,151
82,170050,10/12/2016,51.68,152
83,170051,10/12/2016,128.18,153
84,170052,10/12/2016,18.25538462,154
85,170053,10/12/2016,82.62,155
86,170054,10/12/2016,60.97333333,156
87,170055,10/12/2016,57.21714286,158
88,170056,10/12/2016,27.88,159
89,170057,10/12/2016,41.48,160
90,170058,10/12/2016,51.87428571,163
91,170059,10/12/2016,34.22666667,164
92,170060,10/12/2016,18.24666667,165
93,170061,10/12/2016,39.44,166
94,170062,10/12/2016,63.24,167
95,170063,10/12/2016,72.42,168
96,170064,10/12/2016,30.855,169
97,170065,10/12/2016,138.72,170
98,170066,10/12/2016,33.83,171
99,170067,10/12/2016,55.93,172
100,170068,10/12/2016,43.52,178
101,170069,10/12/2016,25.16,181
102,170070,10/12/2016,39.44,182
103,170071,10/12/2016,21.76,183
104,170072,10/12/2016,37.4,185
105,170073,10/12/2016,9.18,189
106,170074,10/12/2016,20.995,192
107,170075,10/12/2016,39.59692308,193
108,170076,10/12/2016,32.64,194
109,170077,10/12/2016,46.92,195
110,170078,10/12/2016,51.34,197
111,170079,10/12/2016,31.28,198
112,170080,10/12/2016,33.77333333,211
113,170081,10/12/2016,21.896,212
114,170082,10/12/2016,26.71428571,213
115,170083,10/12/2016,32.232,214
116,170084,10/12/2016,20.4,215
117,170085,10/12/2016,8.16,216
118,170086,10/12/2016,4.76,217
119,170087,10/12/2016,1.36,227
120,170088,10/12/2016,38.76,229
121,170089,10/12/2016,45.288,230
122,170090,10/12/2016,45.05,231
123,170091,10/12/2016,70.04,232
124,170092,10/12/2016,86.87,236
125,170093,10/12/2016,93.16,238
126,170094,10/12/2016,70.72,239
127,170095,10/12/2016,88.96666667,240
128,170096,10/12/2016,121.04,241
129,170097,10/12/2016,51.816,244
130,170098,10/12/2016,39.355,245
131,170099,10/12/2016,19.72,249
132,170100,10/12/2016,23.8,257
133,170101,10/12/2016,12.92,266
134,170102,10/12/2016,11.78666667,280
135,170103,10/12/2016,3.4,281
136,170104,10/12/2016,13.82666667,288
137,170105,10/12/2016,38.08,313
138,170106,10/12/2016,19.04,314
139,170107,10/12/2016,12.24,315
140,170108,10/12/2016,90.44,318
141,170109,10/12/2016,45.968,342
142,170110,10/12/2016,79.56,343
143,170111,10/12/2016,20.4,344
144,170112,10/12/2016,65.28,347
