,ID,DateRun,AvgAge,HEX_OID
0,382530,1/18/2017,42.76444444,1
1,382531,1/18/2017,8.84,2
2,382532,1/18/2017,19.94666667,3
3,382533,1/18/2017,74.8,4
4,382534,1/18/2017,14.28,6
5,382535,1/18/2017,76.84,18
6,382536,1/18/2017,34.408,19
7,382537,1/18/2017,76.16,20
8,382538,1/18/2017,49.64,23
9,382539,1/18/2017,39.78,24
10,382540,1/18/2017,18.13333333,26
11,382541,1/18/2017,28.56,27
12,382542,1/18/2017,9.293333333,28
13,382543,1/18/2017,48.96,29
14,382544,1/18/2017,48.11,30
15,382545,1/18/2017,21.42,32
16,382546,1/18/2017,18.36,35
17,382547,1/18/2017,43.74666667,41
18,382548,1/18/2017,10.2,42
19,382549,1/18/2017,22.44,44
20,382550,1/18/2017,5.44,45
21,382551,1/18/2017,65.28,46
22,382552,1/18/2017,59.84,51
23,382553,1/18/2017,55.08,52
24,382554,1/18/2017,28.71692308,58
25,382555,1/18/2017,15.64,60
26,382556,1/18/2017,17.68,62
27,382557,1/18/2017,9.18,63
28,382558,1/18/2017,29.92,69
29,382559,1/18/2017,39.21333333,70
30,382560,1/18/2017,16.32,71
31,382561,1/18/2017,10.2,73
32,382562,1/18/2017,11.10666667,74
33,382563,1/18/2017,51.0,75
34,382564,1/18/2017,4.08,76
35,382565,1/18/2017,21.08,83
36,382566,1/18/2017,32.98,86
37,382567,1/18/2017,26.18,95
38,382568,1/18/2017,30.37333333,96
39,382569,1/18/2017,76.16,97
40,382570,1/18/2017,42.16,98
41,382571,1/18/2017,30.94,102
42,382572,1/18/2017,16.83,103
43,382573,1/18/2017,4.42,105
44,382574,1/18/2017,15.86666667,108
45,382575,1/18/2017,16.09333333,109
46,382576,1/18/2017,5.44,111
47,382577,1/18/2017,41.48,112
48,382578,1/18/2017,33.09333333,114
49,382579,1/18/2017,32.98,116
50,382580,1/18/2017,45.65714286,119
51,382581,1/18/2017,16.048,122
52,382582,1/18/2017,100.64,125
53,382583,1/18/2017,30.40571429,126
54,382584,1/18/2017,42.84,127
55,382585,1/18/2017,53.72,128
56,382586,1/18/2017,73.95,129
57,382587,1/18/2017,43.18,130
58,382588,1/18/2017,27.88,131
59,382589,1/18/2017,32.64,132
60,382590,1/18/2017,12.46666667,135
61,382591,1/18/2017,11.56,137
62,382592,1/18/2017,18.58666667,139
63,382593,1/18/2017,16.32,140
64,382594,1/18/2017,28.97555556,141
65,382595,1/18/2017,50.83,142
66,382596,1/18/2017,46.104,146
67,382597,1/18/2017,1.36,148
68,382598,1/18/2017,48.008,151
69,382599,1/18/2017,35.87,152
70,382600,1/18/2017,24.48,153
71,382601,1/18/2017,33.728,154
72,382602,1/18/2017,51.34,155
73,382603,1/18/2017,20.74,156
74,382604,1/18/2017,20.17333333,158
75,382605,1/18/2017,51.85,159
76,382606,1/18/2017,9.52,160
77,382607,1/18/2017,32.912,163
78,382608,1/18/2017,5.44,164
79,382609,1/18/2017,26.18,165
80,382610,1/18/2017,50.66,166
81,382611,1/18/2017,33.09333333,167
82,382612,1/18/2017,8.84,168
83,382613,1/18/2017,50.32,169
84,382614,1/18/2017,25.61333333,170
85,382615,1/18/2017,58.70666667,171
86,382616,1/18/2017,106.08,172
87,382617,1/18/2017,10.2,178
88,382618,1/18/2017,14.28,181
89,382619,1/18/2017,33.49,182
90,382620,1/18/2017,16.66,183
91,382621,1/18/2017,43.97333333,185
92,382622,1/18/2017,5.44,188
93,382623,1/18/2017,5.44,191
94,382624,1/18/2017,72.76,192
95,382625,1/18/2017,35.91047619,193
96,382626,1/18/2017,15.18666667,194
97,382627,1/18/2017,2.38,195
98,382628,1/18/2017,45.33333333,197
99,382629,1/18/2017,37.06,198
100,382630,1/18/2017,0.68,211
101,382631,1/18/2017,49.3,212
102,382632,1/18/2017,40.392,213
103,382633,1/18/2017,31.28,214
104,382634,1/18/2017,10.37,215
105,382635,1/18/2017,7.48,216
106,382636,1/18/2017,62.56,229
107,382637,1/18/2017,39.27,230
108,382638,1/18/2017,34.51,231
109,382639,1/18/2017,102.68,236
110,382640,1/18/2017,22.44,237
111,382641,1/18/2017,94.52,238
112,382642,1/18/2017,35.36,240
113,382643,1/18/2017,4.08,241
114,382644,1/18/2017,50.32,244
115,382645,1/18/2017,42.27333333,245
116,382646,1/18/2017,39.44,258
117,382647,1/18/2017,14.96,274
118,382648,1/18/2017,27.2,279
119,382649,1/18/2017,13.6,280
120,382650,1/18/2017,23.8,293
121,382651,1/18/2017,9.52,295
122,382652,1/18/2017,4.08,299
123,382653,1/18/2017,3.4,315
124,382654,1/18/2017,0.68,325
125,382655,1/18/2017,26.656,342
126,382656,1/18/2017,55.76,343
127,382657,1/18/2017,4.42,353
128,382658,1/18/2017,62.56,356
129,382659,1/18/2017,8.84,363
130,382660,1/18/2017,9.52,373
131,382661,1/18/2017,22.78,374
132,382662,1/18/2017,14.96,376
133,382663,1/18/2017,29.24,377
134,382664,1/18/2017,31.79,378
135,382665,1/18/2017,11.22,379
136,382666,1/18/2017,24.82,380
137,382667,1/18/2017,44.88,381
138,382668,1/18/2017,12.24,388
139,382669,1/18/2017,14.96,389
140,382670,1/18/2017,44.88,393
141,382671,1/18/2017,0.68,394
142,382672,1/18/2017,89.08,395
143,382673,1/18/2017,23.8,401
144,382674,1/18/2017,55.98666667,402
145,382675,1/18/2017,21.08,403
146,382676,1/18/2017,3.74,416
147,382677,1/18/2017,4.76,422
148,382678,1/18/2017,21.76,425
149,382679,1/18/2017,13.94,426
150,382680,1/18/2017,39.44,427
151,382681,1/18/2017,37.23,428
152,382682,1/18/2017,24.48,429
153,382683,1/18/2017,76.16,431
154,382684,1/18/2017,51.90666667,432
155,382685,1/18/2017,42.84,433
156,382686,1/18/2017,18.36,440
157,382687,1/18/2017,77.86,450
158,382688,1/18/2017,35.02,451
159,382689,1/18/2017,5.44,452
160,382690,1/18/2017,40.49090909,453
161,382691,1/18/2017,33.92444444,454
162,382692,1/18/2017,13.6,455
163,382693,1/18/2017,56.44,469
164,382694,1/18/2017,35.36,471
165,382695,1/18/2017,77.52,473
166,382696,1/18/2017,29.46666667,474
167,382697,1/18/2017,25.84,475
168,382698,1/18/2017,32.47,476
169,382699,1/18/2017,10.2,477
170,382700,1/18/2017,55.42,478
171,382701,1/18/2017,12.92,491
172,382702,1/18/2017,47.94,493
173,382703,1/18/2017,57.8,495
174,382704,1/18/2017,49.18666667,496
175,382705,1/18/2017,22.1,497
176,382706,1/18/2017,29.46666667,510
177,382707,1/18/2017,42.38666667,511
178,382708,1/18/2017,48.28,512
179,382709,1/18/2017,34.34,513
180,382710,1/18/2017,9.746666667,514
181,382711,1/18/2017,14.11,515
182,382712,1/18/2017,35.36,516
183,382713,1/18/2017,48.28,517
184,382714,1/18/2017,40.29,519
185,382715,1/18/2017,79.56,520
186,382716,1/18/2017,22.44,524
187,382717,1/18/2017,63.01333333,536
188,382718,1/18/2017,64.6,539
189,382719,1/18/2017,11.78666667,540
190,382720,1/18/2017,26.384,541
191,382721,1/18/2017,39.44,542
192,382722,1/18/2017,38.76,546
193,382723,1/18/2017,35.7,547
194,382724,1/18/2017,49.98,549
195,382725,1/18/2017,35.81333333,550
196,382726,1/18/2017,38.08,551
197,382727,1/18/2017,35.58666667,552
198,382728,1/18/2017,12.92,553
199,382729,1/18/2017,32.64,554
200,382730,1/18/2017,32.64,555
201,382731,1/18/2017,43.18,556
202,382732,1/18/2017,53.04,557
203,382733,1/18/2017,44.37,558
204,382734,1/18/2017,34.0,559
205,382735,1/18/2017,41.48,560
206,382736,1/18/2017,70.72,566
207,382737,1/18/2017,44.2,568
208,382738,1/18/2017,48.195,570
209,382739,1/18/2017,48.62,572
210,382740,1/18/2017,57.8,574
211,382741,1/18/2017,24.18857143,576
212,382742,1/18/2017,44.744,577
213,382743,1/18/2017,30.26,581
214,382744,1/18/2017,15.64,582
215,382745,1/18/2017,32.64,583
216,382746,1/18/2017,62.22,584
217,382747,1/18/2017,18.58666667,585
218,382748,1/18/2017,30.77,586
219,382749,1/18/2017,9.973333333,587
220,382750,1/18/2017,18.13333333,589
221,382751,1/18/2017,16.77333333,590
222,382752,1/18/2017,9.01,591
223,382753,1/18/2017,29.69333333,592
224,382754,1/18/2017,35.48363636,593
225,382755,1/18/2017,46.07,594
226,382756,1/18/2017,58.70666667,595
227,382757,1/18/2017,31.365,596
228,382758,1/18/2017,58.48,597
229,382759,1/18/2017,32.98,598
230,382760,1/18/2017,12.58,603
231,382761,1/18/2017,14.96,606
232,382762,1/18/2017,23.12,607
233,382763,1/18/2017,20.74,609
234,382764,1/18/2017,52.51111111,610
235,382765,1/18/2017,15.64,613
236,382766,1/18/2017,34.34,614
237,382767,1/18/2017,27.10285714,615
238,382768,1/18/2017,32.98,617
239,382769,1/18/2017,28.56,622
240,382770,1/18/2017,11.78666667,623
241,382771,1/18/2017,12.01333333,624
242,382772,1/18/2017,16.49,625
243,382773,1/18/2017,15.98,626
244,382774,1/18/2017,29.325,627
245,382775,1/18/2017,47.53818182,628
246,382776,1/18/2017,26.03428571,629
247,382777,1/18/2017,12.24,633
248,382778,1/18/2017,40.8,634
249,382779,1/18/2017,27.2,635
250,382780,1/18/2017,38.08,636
251,382781,1/18/2017,27.608,638
252,382782,1/18/2017,42.16,639
253,382783,1/18/2017,66.18666667,640
254,382784,1/18/2017,35.7,641
255,382785,1/18/2017,87.04,642
256,382786,1/18/2017,59.16,645
257,382787,1/18/2017,53.94666667,646
258,382788,1/18/2017,0.68,647
259,382789,1/18/2017,59.33,648
260,382790,1/18/2017,66.3,649
261,382791,1/18/2017,38.42,651
262,382792,1/18/2017,10.2,652
263,382793,1/18/2017,26.248,653
264,382794,1/18/2017,46.58,658
265,382795,1/18/2017,2.04,659
266,382796,1/18/2017,26.42285714,661
267,382797,1/18/2017,27.10285714,662
268,382798,1/18/2017,12.835,665
269,382799,1/18/2017,5.44,666
270,382800,1/18/2017,34.0,667
271,382801,1/18/2017,38.76,669
272,382802,1/18/2017,9.69,671
273,382803,1/18/2017,52.7,674
274,382804,1/18/2017,60.21777778,675
275,382805,1/18/2017,72.216,676
276,382806,1/18/2017,19.04,678
277,382807,1/18/2017,20.4,680
278,382808,1/18/2017,18.36,682
279,382809,1/18/2017,27.88,683
280,382810,1/18/2017,34.34,684
281,382811,1/18/2017,46.24,686
282,382812,1/18/2017,9.18,689
283,382813,1/18/2017,19.38,691
284,382814,1/18/2017,52.36,699
285,382815,1/18/2017,29.92,700
286,382816,1/18/2017,20.74,702
287,382817,1/18/2017,60.52,707
288,382818,1/18/2017,26.52,711
289,382819,1/18/2017,46.69333333,712
290,382820,1/18/2017,100.64,713
291,382821,1/18/2017,23.8,714
292,382822,1/18/2017,8.84,716
293,382823,1/18/2017,1.36,719
294,382824,1/18/2017,26.52,720
295,382825,1/18/2017,41.48,721
296,382826,1/18/2017,23.8,722
297,382827,1/18/2017,16.70857143,723
298,382828,1/18/2017,0.68,724
299,382829,1/18/2017,51.0,725
300,382830,1/18/2017,60.52,726
301,382831,1/18/2017,16.32,728
302,382832,1/18/2017,2.04,730
303,382833,1/18/2017,43.29333333,731
304,382834,1/18/2017,4.25,735
305,382835,1/18/2017,28.22,737
306,382836,1/18/2017,58.48,738
307,382837,1/18/2017,0.68,739
308,382838,1/18/2017,35.02,740
309,382839,1/18/2017,78.2,741
310,382840,1/18/2017,4.08,742
311,382841,1/18/2017,62.56,744
312,382842,1/18/2017,16.09333333,745
313,382843,1/18/2017,21.76,746
314,382844,1/18/2017,14.73333333,747
315,382845,1/18/2017,17.68,750
316,382846,1/18/2017,21.42,755
317,382847,1/18/2017,20.06,757
318,382848,1/18/2017,34.68,758
319,382849,1/18/2017,21.216,759
320,382850,1/18/2017,19.72,760
321,382851,1/18/2017,23.46,761
322,382852,1/18/2017,51.68,762
323,382853,1/18/2017,26.18,763
324,382854,1/18/2017,38.76,765
325,382855,1/18/2017,5.364444444,767
326,382856,1/18/2017,21.98666667,769
327,382857,1/18/2017,29.41,772
328,382858,1/18/2017,46.24,773
329,382859,1/18/2017,67.32,774
330,382860,1/18/2017,12.01333333,777
331,382861,1/18/2017,31.688,781
332,382862,1/18/2017,58.48,782
333,382863,1/18/2017,14.45,784
334,382864,1/18/2017,21.30666667,785
335,382865,1/18/2017,49.18666667,788
336,382866,1/18/2017,43.52,791
337,382867,1/18/2017,10.54,795
338,382868,1/18/2017,6.12,797
339,382869,1/18/2017,7.14,800
340,382870,1/18/2017,18.36,802
341,382871,1/18/2017,41.70666667,811
342,382872,1/18/2017,46.92,812
343,382873,1/18/2017,23.8,813
344,382874,1/18/2017,7.48,814
345,382875,1/18/2017,40.12,816
346,382876,1/18/2017,40.8,817
347,382877,1/18/2017,24.14,824
348,382878,1/18/2017,4.306666667,825
349,382879,1/18/2017,32.64,827
350,382880,1/18/2017,1.36,828
351,382881,1/18/2017,9.52,838
352,382882,1/18/2017,39.44,840
353,382883,1/18/2017,27.42666667,842
354,382884,1/18/2017,28.22,844
355,382885,1/18/2017,0.68,846
356,382886,1/18/2017,37.128,849
357,382887,1/18/2017,21.08,850
358,382888,1/18/2017,39.44,851
359,382889,1/18/2017,29.24,855
360,382890,1/18/2017,26.792,856
361,382891,1/18/2017,36.72,857
362,382892,1/18/2017,33.49,858
363,382893,1/18/2017,8.386666667,859
364,382894,1/18/2017,18.55428571,861
365,382895,1/18/2017,14.96,863
366,382896,1/18/2017,31.416,865
367,382897,1/18/2017,3.06,868
368,382898,1/18/2017,25.38666667,869
369,382899,1/18/2017,31.28,870
370,382900,1/18/2017,41.752,871
371,382901,1/18/2017,39.44,872
372,382902,1/18/2017,49.98,873
373,382903,1/18/2017,11.56,874
374,382904,1/18/2017,36.992,875
375,382905,1/18/2017,13.6,876
376,382906,1/18/2017,16.83,878
377,382907,1/18/2017,3.4,879
378,382908,1/18/2017,36.584,884
379,382909,1/18/2017,28.9,888
380,382910,1/18/2017,29.69333333,898
381,382911,1/18/2017,26.52,900
382,382912,1/18/2017,16.32,901
383,382913,1/18/2017,10.88,904
384,382914,1/18/2017,23.8,905
385,382915,1/18/2017,22.89333333,906
386,382916,1/18/2017,32.86666667,909
387,382917,1/18/2017,37.4,919
388,382918,1/18/2017,25.16,920
389,382919,1/18/2017,46.92,927
390,382920,1/18/2017,29.24,929
391,382921,1/18/2017,34.0,931
392,382922,1/18/2017,23.12,933
393,382923,1/18/2017,27.2,947
394,382924,1/18/2017,21.08,949
395,382925,1/18/2017,20.4,953
396,382926,1/18/2017,27.88,957
397,382927,1/18/2017,33.32,977
398,382928,1/18/2017,0.68,998
399,382929,1/18/2017,34.0,1026
400,382930,1/18/2017,8.84,1039
401,382931,1/18/2017,6.12,1040
402,382932,1/18/2017,2.72,1045
403,382933,1/18/2017,7.48,1046
404,382934,1/18/2017,10.88,1047
405,382935,1/18/2017,29.24,1059
406,382936,1/18/2017,10.88,1080
407,382937,1/18/2017,4.76,1091
408,382938,1/18/2017,10.2,1105
409,382939,1/18/2017,27.65333333,1106
410,382940,1/18/2017,41.48,1130
411,382941,1/18/2017,21.08,1131
412,382942,1/18/2017,9.52,1150
413,382943,1/18/2017,1.36,1158
414,382944,1/18/2017,2.72,1159
415,382945,1/18/2017,1.36,1160
416,382946,1/18/2017,5.44,1162
417,382947,1/18/2017,13.6,1163
418,382948,1/18/2017,29.24,1166
419,382949,1/18/2017,23.8,1181
420,382950,1/18/2017,13.6,1186
421,382951,1/18/2017,31.28,1219
422,382952,1/18/2017,4.08,1224
423,382953,1/18/2017,10.88,1227
424,382954,1/18/2017,9.52,1234
425,382955,1/18/2017,12.46666667,1235
426,382956,1/18/2017,48.96,1244
427,382957,1/18/2017,40.12,1250
428,382958,1/18/2017,25.84,1263
429,382959,1/18/2017,70.04,1264
430,382960,1/18/2017,2.72,1265
431,382961,1/18/2017,37.4,1266
432,382962,1/18/2017,33.54666667,1268
433,382963,1/18/2017,41.14,1270
434,382964,1/18/2017,42.84,1279
435,382965,1/18/2017,29.512,1281
436,382966,1/18/2017,41.25333333,1284
437,382967,1/18/2017,38.25,1288
438,382968,1/18/2017,16.32,1289
439,382969,1/18/2017,19.992,1292
440,382970,1/18/2017,10.2,1293
441,382971,1/18/2017,12.92,1296
442,382972,1/18/2017,23.12,1301
443,382973,1/18/2017,23.12,1306
444,382974,1/18/2017,6.12,1316
445,382975,1/18/2017,15.64,1319
446,382976,1/18/2017,8.84,1326
447,382977,1/18/2017,25.84,1363
448,382978,1/18/2017,29.92,1368
449,382979,1/18/2017,4.08,1373
450,382980,1/18/2017,25.5,1382
451,382981,1/18/2017,22.44,1384
452,382982,1/18/2017,3.4,1392
453,382983,1/18/2017,17.90666667,1399
454,382984,1/18/2017,32.64,1400
455,382985,1/18/2017,36.04,1401
456,382986,1/18/2017,23.63,1404
457,382987,1/18/2017,33.32,1405
458,382988,1/18/2017,19.72,1406
459,382989,1/18/2017,48.96,1407
460,382990,1/18/2017,19.49333333,1408
461,382991,1/18/2017,0.68,1411
462,382992,1/18/2017,57.63,1412
463,382993,1/18/2017,67.54666667,1413
464,382994,1/18/2017,38.76,1415
465,382995,1/18/2017,46.24,1417
466,382996,1/18/2017,53.72,1438
467,382997,1/18/2017,67.32,1439
468,382998,1/18/2017,33.77333333,1442
469,382999,1/18/2017,20.74,1445
470,383000,1/18/2017,67.66,1447
471,383001,1/18/2017,28.56,1452
472,383002,1/18/2017,24.93333333,1453
473,383003,1/18/2017,36.38,1457
474,383004,1/18/2017,42.84,1463
475,383005,1/18/2017,22.44,1464
476,383006,1/18/2017,61.2,1465
477,383007,1/18/2017,24.48,1466
478,383008,1/18/2017,24.48,1468
479,383009,1/18/2017,56.1,1469
480,383010,1/18/2017,25.84,1496
481,383011,1/18/2017,26.97333333,1497
482,383012,1/18/2017,41.48,1498
483,383013,1/18/2017,36.04,1501
484,383014,1/18/2017,74.8,1502
485,383015,1/18/2017,16.66,1503
486,383016,1/18/2017,4.76,1504
487,383017,1/18/2017,57.8,1505
488,383018,1/18/2017,28.22,1507
489,383019,1/18/2017,48.96,1508
490,383020,1/18/2017,32.232,1509
491,383021,1/18/2017,56.89333333,1510
492,383022,1/18/2017,40.57333333,1511
493,383023,1/18/2017,55.624,1512
494,383024,1/18/2017,75.48,1514
495,383025,1/18/2017,58.48,1516
496,383026,1/18/2017,23.46,1517
497,383027,1/18/2017,35.58666667,1519
498,383028,1/18/2017,18.36,1523
499,383029,1/18/2017,8.84,1527
500,383030,1/18/2017,17.0,1530
501,383031,1/18/2017,4.76,1554
502,383032,1/18/2017,8.16,1555
503,383033,1/18/2017,42.84,1556
504,383034,1/18/2017,62.56,1560
505,383035,1/18/2017,10.88,1595
506,383036,1/18/2017,2.04,1596
507,383037,1/18/2017,1.36,1603
508,383038,1/18/2017,0.68,1604
509,383039,1/18/2017,3.4,1610
510,383040,1/18/2017,23.8,1614
511,383041,1/18/2017,7.48,1621
512,383042,1/18/2017,29.512,1624
513,383043,1/18/2017,11.832,1625
514,383044,1/18/2017,6.12,1626
515,383045,1/18/2017,25.16,1627
516,383046,1/18/2017,31.688,1628
517,383047,1/18/2017,57.12,1629
518,383048,1/18/2017,44.2,1630
519,383049,1/18/2017,15.98,1631
520,383050,1/18/2017,42.84,1632
521,383051,1/18/2017,48.62,1634
522,383052,1/18/2017,29.92,1635
523,383053,1/18/2017,18.73777778,1637
524,383054,1/18/2017,27.88,1638
525,383055,1/18/2017,5.44,1640
526,383056,1/18/2017,73.1,1641
527,383057,1/18/2017,31.552,1642
528,383058,1/18/2017,5.44,1644
529,383059,1/18/2017,7.14,1646
530,383060,1/18/2017,4.08,1650
531,383061,1/18/2017,27.2,1651
532,383062,1/18/2017,23.8,1686
533,383063,1/18/2017,43.06666667,1695
534,383064,1/18/2017,9.18,1697
535,383065,1/18/2017,62.56,1698
536,383066,1/18/2017,38.76,1699
537,383067,1/18/2017,20.4,1700
538,383068,1/18/2017,45.56,1704
539,383069,1/18/2017,4.76,1705
540,383070,1/18/2017,62.56,1709
541,383071,1/18/2017,38.08,1712
542,383072,1/18/2017,10.88,1713
543,383073,1/18/2017,51.68,1714
544,383074,1/18/2017,32.98,1732
545,383075,1/18/2017,42.84,1750
546,383076,1/18/2017,48.28,1752
547,383077,1/18/2017,78.88,1755
548,383078,1/18/2017,45.9,1758
549,383079,1/18/2017,27.88,1761
550,383080,1/18/2017,43.52,1762
551,383081,1/18/2017,27.42666667,1764
552,383082,1/18/2017,56.44,1766
553,383083,1/18/2017,18.768,1767
554,383084,1/18/2017,13.94,1769
555,383085,1/18/2017,33.32,1771
556,383086,1/18/2017,37.74,1772
557,383087,1/18/2017,31.28,1774
558,383088,1/18/2017,6.12,1776
559,383089,1/18/2017,52.7,1777
560,383090,1/18/2017,38.216,1778
561,383091,1/18/2017,19.04,1779
562,383092,1/18/2017,29.24,1780
563,383093,1/18/2017,49.83428571,1781
564,383094,1/18/2017,36.04,1782
565,383095,1/18/2017,60.06666667,1783
566,383096,1/18/2017,38.56571429,1784
567,383097,1/18/2017,48.79,1785
568,383098,1/18/2017,48.96,1786
569,383099,1/18/2017,60.52,1787
570,383100,1/18/2017,23.97,1789
571,383101,1/18/2017,47.01714286,1790
572,383102,1/18/2017,14.28,1791
573,383103,1/18/2017,15.98,1800
574,383104,1/18/2017,14.96,1812
575,383105,1/18/2017,4.08,1813
576,383106,1/18/2017,39.44,1814
577,383107,1/18/2017,6.12,1820
578,383108,1/18/2017,11.56,1822
579,383109,1/18/2017,20.4,1828
580,383110,1/18/2017,1.36,1832
581,383111,1/18/2017,11.22,1834
582,383112,1/18/2017,10.2,1863
583,383113,1/18/2017,4.08,1864
584,383114,1/18/2017,0.68,1865
585,383115,1/18/2017,43.52,1873
586,383116,1/18/2017,0.68,1881
587,383117,1/18/2017,28.56,1884
588,383118,1/18/2017,4.42,1898
589,383119,1/18/2017,9.52,1906
590,383120,1/18/2017,10.2,1908
591,383121,1/18/2017,18.36,1910
592,383122,1/18/2017,40.63,1911
593,383123,1/18/2017,58.82,1912
594,383124,1/18/2017,27.03,1913
595,383125,1/18/2017,44.2,1914
596,383126,1/18/2017,6.12,1915
597,383127,1/18/2017,0.68,1916
598,383128,1/18/2017,56.032,1917
599,383129,1/18/2017,15.64,1918
600,383130,1/18/2017,67.66,1921
601,383131,1/18/2017,36.72,1922
602,383132,1/18/2017,49.86666667,1923
603,383133,1/18/2017,32.52666667,1924
604,383134,1/18/2017,24.82,1925
605,383135,1/18/2017,10.744,1926
606,383136,1/18/2017,54.06,1927
607,383137,1/18/2017,71.85333333,1928
608,383138,1/18/2017,37.88571429,1929
609,383139,1/18/2017,47.78133333,1930
610,383140,1/18/2017,49.47,1931
611,383141,1/18/2017,35.7,1932
612,383142,1/18/2017,58.48,1933
613,383143,1/18/2017,13.6,1934
614,383144,1/18/2017,22.44,1935
615,383145,1/18/2017,30.6,1936
616,383146,1/18/2017,30.26,1937
617,383147,1/18/2017,53.72,1938
618,383148,1/18/2017,40.8,1939
619,383149,1/18/2017,61.2,1941
620,383150,1/18/2017,37.57,1942
621,383151,1/18/2017,29.92,1943
622,383152,1/18/2017,6.8,1944
623,383153,1/18/2017,5.1,1945
624,383154,1/18/2017,49.98,1946
625,383155,1/18/2017,13.94,1947
626,383156,1/18/2017,13.6,1948
627,383157,1/18/2017,33.66,1949
