,ID,DateRun,AvgAge,HEX_OID
0,386506,1/20/2017,40.035,1
1,386507,1/20/2017,10.2,2
2,386508,1/20/2017,21.30666667,3
3,386509,1/20/2017,76.16,4
4,386510,1/20/2017,15.64,6
5,386511,1/20/2017,35.768,19
6,386512,1/20/2017,51.0,23
7,386513,1/20/2017,41.14,24
8,386514,1/20/2017,1.7,26
9,386515,1/20/2017,29.92,27
10,386516,1/20/2017,10.65333333,28
11,386517,1/20/2017,50.32,29
12,386518,1/20/2017,39.848,30
13,386519,1/20/2017,22.78,32
14,386520,1/20/2017,19.72,35
15,386521,1/20/2017,45.10666667,41
16,386522,1/20/2017,11.56,42
17,386523,1/20/2017,23.8,44
18,386524,1/20/2017,6.8,45
19,386525,1/20/2017,66.64,46
20,386526,1/20/2017,61.2,51
21,386527,1/20/2017,56.44,52
22,386528,1/20/2017,26.15733333,58
23,386529,1/20/2017,17.0,60
24,386530,1/20/2017,9.293333333,62
25,386531,1/20/2017,10.54,63
26,386532,1/20/2017,31.28,69
27,386533,1/20/2017,40.57333333,70
28,386534,1/20/2017,17.68,71
29,386535,1/20/2017,11.56,73
30,386536,1/20/2017,12.46666667,74
31,386537,1/20/2017,52.36,75
32,386538,1/20/2017,5.44,76
33,386539,1/20/2017,22.44,83
34,386540,1/20/2017,23.34666667,86
35,386541,1/20/2017,27.54,95
36,386542,1/20/2017,31.73333333,96
37,386543,1/20/2017,77.52,97
38,386544,1/20/2017,43.52,98
39,386545,1/20/2017,0.68,99
40,386546,1/20/2017,59.16,102
41,386547,1/20/2017,18.71789474,103
42,386548,1/20/2017,5.78,105
43,386549,1/20/2017,14.96,108
44,386550,1/20/2017,17.45333333,109
45,386551,1/20/2017,6.8,111
46,386552,1/20/2017,22.1,112
47,386553,1/20/2017,34.45333333,114
48,386554,1/20/2017,34.34,116
49,386555,1/20/2017,47.01714286,119
50,386556,1/20/2017,17.408,122
51,386557,1/20/2017,102.0,125
52,386558,1/20/2017,31.84666667,126
53,386559,1/20/2017,44.2,127
54,386560,1/20/2017,55.08,128
55,386561,1/20/2017,75.31,129
56,386562,1/20/2017,44.54,130
57,386563,1/20/2017,29.24,131
58,386564,1/20/2017,17.68,132
59,386565,1/20/2017,14.96,135
60,386566,1/20/2017,19.72,139
61,386567,1/20/2017,17.68,140
62,386568,1/20/2017,27.438,141
63,386569,1/20/2017,52.19,142
64,386570,1/20/2017,38.76,146
65,386571,1/20/2017,2.72,148
66,386572,1/20/2017,49.368,151
67,386573,1/20/2017,37.23,152
68,386574,1/20/2017,20.808,153
69,386575,1/20/2017,35.088,154
70,386576,1/20/2017,52.7,155
71,386577,1/20/2017,22.1,156
72,386578,1/20/2017,18.65142857,158
73,386579,1/20/2017,35.7,159
74,386580,1/20/2017,10.88,160
75,386581,1/20/2017,39.95,163
76,386582,1/20/2017,5.44,164
77,386583,1/20/2017,27.54,165
78,386584,1/20/2017,52.02,166
79,386585,1/20/2017,34.45333333,167
80,386586,1/20/2017,10.2,168
81,386587,1/20/2017,2.04,169
82,386588,1/20/2017,1.36,170
83,386589,1/20/2017,60.06666667,171
84,386590,1/20/2017,107.44,172
85,386591,1/20/2017,11.56,178
86,386592,1/20/2017,15.64,181
87,386593,1/20/2017,55.76,182
88,386594,1/20/2017,18.02,183
89,386595,1/20/2017,45.33333333,185
90,386596,1/20/2017,6.8,191
91,386597,1/20/2017,55.08,192
92,386598,1/20/2017,35.60727273,193
93,386599,1/20/2017,16.54666667,194
94,386600,1/20/2017,3.74,195
95,386601,1/20/2017,46.69333333,197
96,386602,1/20/2017,25.61333333,198
97,386603,1/20/2017,2.04,211
98,386604,1/20/2017,50.66,212
99,386605,1/20/2017,62.56,213
100,386606,1/20/2017,32.64,214
101,386607,1/20/2017,11.73,215
102,386608,1/20/2017,8.84,216
103,386609,1/20/2017,0.68,225
104,386610,1/20/2017,63.92,229
105,386611,1/20/2017,40.63,230
106,386612,1/20/2017,21.98666667,231
107,386613,1/20/2017,95.88,238
108,386614,1/20/2017,22.032,240
109,386615,1/20/2017,5.44,241
110,386616,1/20/2017,51.68,244
111,386617,1/20/2017,51.408,245
112,386618,1/20/2017,0.68,257
113,386619,1/20/2017,40.8,258
114,386620,1/20/2017,16.32,274
115,386621,1/20/2017,28.56,279
116,386622,1/20/2017,14.96,280
117,386623,1/20/2017,1.36,296
118,386624,1/20/2017,5.44,299
119,386625,1/20/2017,4.76,315
120,386626,1/20/2017,2.04,325
121,386627,1/20/2017,28.9,342
122,386628,1/20/2017,5.78,353
123,386629,1/20/2017,63.92,356
124,386630,1/20/2017,10.2,363
125,386631,1/20/2017,10.88,373
126,386632,1/20/2017,29.92,374
127,386633,1/20/2017,8.84,376
128,386634,1/20/2017,30.6,377
129,386635,1/20/2017,33.15,378
130,386636,1/20/2017,12.58,379
131,386637,1/20/2017,26.18,380
132,386638,1/20/2017,46.24,381
133,386639,1/20/2017,2.04,394
134,386640,1/20/2017,74.8,395
135,386641,1/20/2017,25.16,401
136,386642,1/20/2017,57.34666667,402
137,386643,1/20/2017,22.44,403
138,386644,1/20/2017,5.1,416
139,386645,1/20/2017,6.12,422
140,386646,1/20/2017,23.12,425
141,386647,1/20/2017,15.3,426
142,386648,1/20/2017,40.8,427
143,386649,1/20/2017,38.59,428
144,386650,1/20/2017,25.84,429
145,386651,1/20/2017,77.52,431
146,386652,1/20/2017,4.42,432
147,386653,1/20/2017,44.2,433
148,386654,1/20/2017,0.68,440
149,386655,1/20/2017,79.22,450
150,386656,1/20/2017,24.48,451
151,386657,1/20/2017,6.8,452
152,386658,1/20/2017,35.62153846,453
153,386659,1/20/2017,35.28444444,454
154,386660,1/20/2017,14.96,455
155,386661,1/20/2017,36.72,471
156,386662,1/20/2017,78.88,473
157,386663,1/20/2017,30.82666667,474
158,386664,1/20/2017,16.592,475
159,386665,1/20/2017,33.83,476
160,386666,1/20/2017,11.56,477
161,386667,1/20/2017,56.78,478
162,386668,1/20/2017,14.28,491
163,386669,1/20/2017,49.3,493
164,386670,1/20/2017,59.16,495
165,386671,1/20/2017,32.81,496
166,386672,1/20/2017,23.46,497
167,386673,1/20/2017,30.82666667,510
168,386674,1/20/2017,43.74666667,511
169,386675,1/20/2017,49.64,512
170,386676,1/20/2017,35.7,513
171,386677,1/20/2017,11.22,514
172,386678,1/20/2017,15.47,515
173,386679,1/20/2017,36.72,516
174,386680,1/20/2017,49.64,517
175,386681,1/20/2017,41.65,519
176,386682,1/20/2017,23.8,524
177,386683,1/20/2017,1.36,532
178,386684,1/20/2017,64.37333333,536
179,386685,1/20/2017,65.96,539
180,386686,1/20/2017,17.34,540
181,386687,1/20/2017,27.744,541
182,386688,1/20/2017,40.8,542
183,386689,1/20/2017,40.12,546
184,386690,1/20/2017,45.56,547
185,386691,1/20/2017,51.34,549
186,386692,1/20/2017,47.6,550
187,386693,1/20/2017,39.44,551
188,386694,1/20/2017,16.66,552
189,386695,1/20/2017,14.28,553
190,386696,1/20/2017,34.0,554
191,386697,1/20/2017,34.0,555
192,386698,1/20/2017,44.54,556
193,386699,1/20/2017,54.4,557
194,386700,1/20/2017,45.73,558
195,386701,1/20/2017,35.36,559
196,386702,1/20/2017,42.84,560
197,386703,1/20/2017,72.08,566
198,386704,1/20/2017,45.56,568
199,386705,1/20/2017,49.555,570
200,386706,1/20/2017,49.98,572
201,386707,1/20/2017,59.16,574
202,386708,1/20/2017,25.54857143,576
203,386709,1/20/2017,53.55,577
204,386710,1/20/2017,31.62,581
205,386711,1/20/2017,17.0,582
206,386712,1/20/2017,24.67428571,583
207,386713,1/20/2017,29.24,584
208,386714,1/20/2017,44.2,585
209,386715,1/20/2017,32.13,586
210,386716,1/20/2017,11.33333333,587
211,386717,1/20/2017,16.12571429,589
212,386718,1/20/2017,18.13333333,590
213,386719,1/20/2017,10.37,591
214,386720,1/20/2017,34.0,592
215,386721,1/20/2017,40.324,593
216,386722,1/20/2017,38.08,594
217,386723,1/20/2017,60.06666667,595
218,386724,1/20/2017,32.725,596
219,386725,1/20/2017,59.84,597
220,386726,1/20/2017,34.34,598
221,386727,1/20/2017,13.94,603
222,386728,1/20/2017,16.32,606
223,386729,1/20/2017,24.48,607
224,386730,1/20/2017,22.1,609
225,386731,1/20/2017,40.8,610
226,386732,1/20/2017,17.0,613
227,386733,1/20/2017,35.7,614
228,386734,1/20/2017,28.46285714,615
229,386735,1/20/2017,34.34,617
230,386736,1/20/2017,29.92,622
231,386737,1/20/2017,13.14666667,623
232,386738,1/20/2017,13.37333333,624
233,386739,1/20/2017,17.85,625
234,386740,1/20/2017,17.34,626
235,386741,1/20/2017,27.35111111,627
236,386742,1/20/2017,48.89818182,628
237,386743,1/20/2017,27.39428571,629
238,386744,1/20/2017,13.6,633
239,386745,1/20/2017,11.10666667,634
240,386746,1/20/2017,28.56,635
241,386747,1/20/2017,39.44,636
242,386748,1/20/2017,21.76,638
243,386749,1/20/2017,30.14666667,639
244,386750,1/20/2017,67.54666667,640
245,386751,1/20/2017,37.06,641
246,386752,1/20/2017,88.4,642
247,386753,1/20/2017,60.52,645
248,386754,1/20/2017,55.30666667,646
249,386755,1/20/2017,2.04,647
250,386756,1/20/2017,60.69,648
251,386757,1/20/2017,65.28,649
252,386758,1/20/2017,39.78,651
253,386759,1/20/2017,11.56,652
254,386760,1/20/2017,27.608,653
255,386761,1/20/2017,32.18666667,658
256,386762,1/20/2017,3.4,659
257,386763,1/20/2017,27.78285714,661
258,386764,1/20/2017,28.46285714,662
259,386765,1/20/2017,14.195,665
260,386766,1/20/2017,6.8,666
261,386767,1/20/2017,35.36,667
262,386768,1/20/2017,40.12,669
263,386769,1/20/2017,7.65,671
264,386770,1/20/2017,54.06,674
265,386771,1/20/2017,61.57777778,675
266,386772,1/20/2017,73.576,676
267,386773,1/20/2017,20.4,678
268,386774,1/20/2017,21.76,680
269,386775,1/20/2017,19.72,682
270,386776,1/20/2017,29.24,683
271,386777,1/20/2017,35.7,684
272,386778,1/20/2017,56.304,686
273,386779,1/20/2017,12.46666667,689
274,386780,1/20/2017,20.74,691
275,386781,1/20/2017,53.72,699
276,386782,1/20/2017,31.28,700
277,386783,1/20/2017,40.8,702
278,386784,1/20/2017,61.88,707
279,386785,1/20/2017,27.88,711
280,386786,1/20/2017,68.34,712
281,386787,1/20/2017,102.0,713
282,386788,1/20/2017,25.16,714
283,386789,1/20/2017,10.2,716
284,386790,1/20/2017,2.72,719
285,386791,1/20/2017,27.88,720
286,386792,1/20/2017,32.47,721
287,386793,1/20/2017,25.16,722
288,386794,1/20/2017,18.06857143,723
289,386795,1/20/2017,2.04,724
290,386796,1/20/2017,52.36,725
291,386797,1/20/2017,61.88,726
292,386798,1/20/2017,5.168,728
293,386799,1/20/2017,3.4,730
294,386800,1/20/2017,14.62,731
295,386801,1/20/2017,5.893333333,735
296,386802,1/20/2017,29.58,737
297,386803,1/20/2017,59.84,738
298,386804,1/20/2017,2.04,739
299,386805,1/20/2017,36.38,740
300,386806,1/20/2017,79.56,741
301,386807,1/20/2017,5.44,742
302,386808,1/20/2017,63.92,744
303,386809,1/20/2017,17.45333333,745
304,386810,1/20/2017,23.12,746
305,386811,1/20/2017,16.09333333,747
306,386812,1/20/2017,19.04,750
307,386813,1/20/2017,22.78,755
308,386814,1/20/2017,21.42,757
309,386815,1/20/2017,36.04,758
310,386816,1/20/2017,22.576,759
311,386817,1/20/2017,21.08,760
312,386818,1/20/2017,24.82,761
313,386819,1/20/2017,53.04,762
314,386820,1/20/2017,27.54,763
315,386821,1/20/2017,5.848,767
316,386822,1/20/2017,17.85,769
317,386823,1/20/2017,30.77,772
318,386824,1/20/2017,32.18666667,773
319,386825,1/20/2017,55.08,774
320,386826,1/20/2017,13.37333333,777
321,386827,1/20/2017,33.048,781
322,386828,1/20/2017,59.84,782
323,386829,1/20/2017,12.92,784
324,386830,1/20/2017,22.66666667,785
325,386831,1/20/2017,50.54666667,788
326,386832,1/20/2017,44.88,791
327,386833,1/20/2017,11.9,795
