,ID,DateRun,AvgAge,HEX_OID
0,398383,1/26/2017,44.115,1
1,398384,1/26/2017,30.6,2
2,398385,1/26/2017,25.38666667,3
3,398386,1/26/2017,80.24,4
4,398387,1/26/2017,21.87333333,6
5,398388,1/26/2017,39.848,19
6,398389,1/26/2017,0.68,20
7,398390,1/26/2017,55.08,23
8,398391,1/26/2017,30.37333333,24
9,398392,1/26/2017,5.78,26
10,398393,1/26/2017,34.0,27
11,398394,1/26/2017,13.11428571,28
12,398395,1/26/2017,54.4,29
13,398396,1/26/2017,43.928,30
14,398397,1/26/2017,20.17333333,32
15,398398,1/26/2017,23.8,35
16,398399,1/26/2017,36.38,41
17,398400,1/26/2017,15.64,42
18,398401,1/26/2017,27.88,44
19,398402,1/26/2017,10.88,45
20,398403,1/26/2017,70.72,46
21,398404,1/26/2017,60.52,52
22,398405,1/26/2017,30.23733333,58
23,398406,1/26/2017,1.36,59
24,398407,1/26/2017,21.08,60
25,398408,1/26/2017,14.96,62
26,398409,1/26/2017,14.62,63
27,398410,1/26/2017,35.36,69
28,398411,1/26/2017,48.96,70
29,398412,1/26/2017,25.5,71
30,398413,1/26/2017,15.64,73
31,398414,1/26/2017,17.68,74
32,398415,1/26/2017,56.44,75
33,398416,1/26/2017,9.52,76
34,398417,1/26/2017,26.52,83
35,398418,1/26/2017,21.59,86
36,398419,1/26/2017,1.36,87
37,398420,1/26/2017,21.30666667,95
38,398421,1/26/2017,35.81333333,96
39,398422,1/26/2017,55.76,97
40,398423,1/26/2017,47.6,98
41,398424,1/26/2017,4.76,99
42,398425,1/26/2017,63.24,102
43,398426,1/26/2017,22.44,103
44,398427,1/26/2017,22.27,108
45,398428,1/26/2017,21.53333333,109
46,398429,1/26/2017,26.18,112
47,398430,1/26/2017,38.53333333,114
48,398431,1/26/2017,31.62,116
49,398432,1/26/2017,51.09714286,119
50,398433,1/26/2017,21.488,122
51,398434,1/26/2017,31.18285714,126
52,398435,1/26/2017,48.28,127
53,398436,1/26/2017,59.16,128
54,398437,1/26/2017,79.39,129
55,398438,1/26/2017,48.62,130
56,398439,1/26/2017,33.32,131
57,398440,1/26/2017,7.706666667,132
58,398441,1/26/2017,19.04,135
