,ID,DateRun,AvgAge,HEX_OID
0,158423,10/7/2016,32.94222222,1
1,158424,10/7/2016,35.87,2
2,158425,10/7/2016,37.28666667,3
3,158426,10/7/2016,36.584,4
4,158427,10/7/2016,56.015,6
5,158428,10/7/2016,34.0,15
6,158429,10/7/2016,22.1,18
7,158430,10/7/2016,17.0,19
8,158431,10/7/2016,15.232,20
9,158432,10/7/2016,71.74,23
10,158433,10/7/2016,110.16,28
11,158434,10/7/2016,16.77333333,29
12,158435,10/7/2016,56.1,30
13,158436,10/7/2016,77.52,31
14,158437,10/7/2016,15.504,32
15,158438,10/7/2016,36.72,33
16,158439,10/7/2016,67.66,35
17,158440,10/7/2016,30.14666667,39
18,158441,10/7/2016,41.888,41
19,158442,10/7/2016,26.18,42
20,158443,10/7/2016,39.44,43
21,158444,10/7/2016,7.48,44
22,158445,10/7/2016,37.4,45
23,158446,10/7/2016,39.44,50
24,158447,10/7/2016,39.44,52
25,158448,10/7/2016,23.63,58
26,158449,10/7/2016,31.28,59
27,158450,10/7/2016,32.13,60
28,158451,10/7/2016,7.026666667,62
29,158452,10/7/2016,56.61,63
30,158453,10/7/2016,73.1,64
31,158454,10/7/2016,87.72,67
32,158455,10/7/2016,22.44,69
33,158456,10/7/2016,83.3,70
34,158457,10/7/2016,93.16,71
35,158458,10/7/2016,29.92,72
36,158459,10/7/2016,16.32,74
37,158460,10/7/2016,119.68,75
38,158461,10/7/2016,60.06666667,82
39,158462,10/7/2016,68.51,83
40,158463,10/7/2016,9.293333333,87
41,158464,10/7/2016,29.92,90
42,158465,10/7/2016,90.82857143,92
43,158466,10/7/2016,59.16,95
44,158467,10/7/2016,58.57714286,96
45,158468,10/7/2016,39.44,97
46,158469,10/7/2016,162.7466667,98
47,158470,10/7/2016,144.16,101
48,158471,10/7/2016,62.40888889,102
49,158472,10/7/2016,42.59272727,103
50,158473,10/7/2016,86.36,105
51,158474,10/7/2016,2.04,106
52,158475,10/7/2016,10.88,107
53,158476,10/7/2016,12.648,108
54,158477,10/7/2016,6.8,109
55,158478,10/7/2016,14.96,111
56,158479,10/7/2016,4.986666667,112
57,158480,10/7/2016,88.62666667,114
58,158481,10/7/2016,4.08,117
59,158482,10/7/2016,32.436,119
60,158483,10/7/2016,80.24,124
61,158484,10/7/2016,113.3333333,125
62,158485,10/7/2016,42.39314286,126
63,158486,10/7/2016,79.56,127
64,158487,10/7/2016,9.52,128
65,158488,10/7/2016,22.865,129
66,158489,10/7/2016,44.744,130
67,158490,10/7/2016,56.85846154,131
68,158491,10/7/2016,39.44,132
69,158492,10/7/2016,58.93333333,133
70,158493,10/7/2016,11.44666667,135
71,158494,10/7/2016,16.32,136
72,158495,10/7/2016,23.34666667,137
73,158496,10/7/2016,9.86,139
74,158497,10/7/2016,25.16,140
75,158498,10/7/2016,65.62,141
76,158499,10/7/2016,36.94666667,142
77,158500,10/7/2016,66.18666667,143
78,158501,10/7/2016,67.32,145
79,158502,10/7/2016,77.27272727,146
80,158503,10/7/2016,68.77714286,148
81,158504,10/7/2016,34.0,149
82,158505,10/7/2016,28.135,151
83,158506,10/7/2016,48.28,152
84,158507,10/7/2016,124.78,153
85,158508,10/7/2016,18.30769231,154
86,158509,10/7/2016,79.22,155
87,158510,10/7/2016,57.57333333,156
88,158511,10/7/2016,53.81714286,158
89,158512,10/7/2016,33.32,159
90,158513,10/7/2016,38.08,160
91,158514,10/7/2016,48.47428571,163
92,158515,10/7/2016,30.82666667,164
93,158516,10/7/2016,23.46,165
94,158517,10/7/2016,36.04,166
95,158518,10/7/2016,59.84,167
96,158519,10/7/2016,70.55,168
97,158520,10/7/2016,36.60666667,169
98,158521,10/7/2016,135.32,170
99,158522,10/7/2016,61.472,171
100,158523,10/7/2016,52.53,172
101,158524,10/7/2016,40.12,178
