,ID,DateRun,AvgAge,HEX_OID
0,47962,8/21/2016,20.15272727,1
1,47963,8/21/2016,62.424,2
2,47964,8/21/2016,25.16,3
3,47965,8/21/2016,32.64,4
4,47966,8/21/2016,34.79333333,6
5,47967,8/21/2016,20.4,8
6,47968,8/21/2016,129.2,13
7,47969,8/21/2016,2.04,15
8,47970,8/21/2016,5.44,18
9,47971,8/21/2016,20.4,19
10,47972,8/21/2016,20.06,20
11,47973,8/21/2016,12.24,21
12,47974,8/21/2016,46.07,23
13,47975,8/21/2016,25.16,24
14,47976,8/21/2016,180.744,27
15,47977,8/21/2016,78.2,28
16,47978,8/21/2016,15.3,29
17,47979,8/21/2016,63.325,30
18,47980,8/21/2016,157.76,31
19,47981,8/21/2016,2.946666667,32
20,47982,8/21/2016,4.76,33
21,47983,8/21/2016,142.3142857,35
22,47984,8/21/2016,30.6,39
23,47985,8/21/2016,69.72615385,41
24,47986,8/21/2016,94.52,42
25,47987,8/21/2016,68.34,43
26,47988,8/21/2016,1.36,44
27,47989,8/21/2016,73.44,45
28,47990,8/21/2016,88.62666667,46
29,47991,8/21/2016,81.6,49
30,47992,8/21/2016,112.88,50
31,47993,8/21/2016,94.18,52
32,47994,8/21/2016,23.12,58
33,47995,8/21/2016,43.97333333,59
34,47996,8/21/2016,61.78933333,60
35,47997,8/21/2016,5.666666667,62
36,47998,8/21/2016,75.48,63
37,47999,8/21/2016,117.64,64
38,48000,8/21/2016,54.74,67
39,48001,8/21/2016,58.48,69
40,48002,8/21/2016,51.34,70
41,48003,8/21/2016,75.63111111,71
42,48004,8/21/2016,18.36,72
43,48005,8/21/2016,24.82,73
44,48006,8/21/2016,95.88,75
45,48007,8/21/2016,121.04,81
46,48008,8/21/2016,69.13333333,82
47,48009,8/21/2016,49.86666667,83
48,48010,8/21/2016,7.82,87
49,48011,8/21/2016,2.04,89
50,48012,8/21/2016,134.164,92
51,48013,8/21/2016,64.71333333,95
52,48014,8/21/2016,59.78769231,96
53,48015,8/21/2016,151.368,97
54,48016,8/21/2016,212.6133333,98
55,48017,8/21/2016,112.2,101
56,48018,8/21/2016,48.96,102
57,48019,8/21/2016,52.88,103
58,48020,8/21/2016,251.6,104
59,48021,8/21/2016,106.25,105
60,48022,8/21/2016,168.3,106
61,48023,8/21/2016,6.8,107
62,48024,8/21/2016,13.872,108
63,48025,8/21/2016,3.4,109
64,48026,8/21/2016,0.68,111
65,48027,8/21/2016,5.1,112
66,48028,8/21/2016,102.34,114
67,48029,8/21/2016,121.72,117
68,48030,8/21/2016,76.23555556,119
69,48031,8/21/2016,48.28,124
70,48032,8/21/2016,131.58,125
71,48033,8/21/2016,34.8075,126
72,48034,8/21/2016,68.90666667,127
73,48035,8/21/2016,64.6,128
74,48036,8/21/2016,18.81333333,129
75,48037,8/21/2016,79.05,130
76,48038,8/21/2016,58.16615385,131
77,48039,8/21/2016,96.152,132
78,48040,8/21/2016,61.76666667,133
79,48041,8/21/2016,13.37333333,135
80,48042,8/21/2016,10.88,136
81,48043,8/21/2016,61.42666667,137
82,48044,8/21/2016,16.66,140
83,48045,8/21/2016,159.08,141
84,48046,8/21/2016,198.9,142
85,48047,8/21/2016,124.2133333,143
86,48048,8/21/2016,35.36,145
87,48049,8/21/2016,68.80363636,146
88,48050,8/21/2016,53.465,148
89,48051,8/21/2016,2.04,149
90,48052,8/21/2016,45.10666667,151
91,48053,8/21/2016,112.54,152
92,48054,8/21/2016,112.4266667,153
93,48055,8/21/2016,11.9,154
94,48056,8/21/2016,114.92,155
95,48057,8/21/2016,56.168,156
96,48058,8/21/2016,41.48,158
97,48059,8/21/2016,55.59,159
98,48060,8/21/2016,31.96,160
99,48061,8/21/2016,31.84666667,163
100,48062,8/21/2016,39.78,164
101,48063,8/21/2016,29.46666667,165
102,48064,8/21/2016,36.94666667,166
103,48065,8/21/2016,80.24,167
104,48066,8/21/2016,77.112,168
105,48067,8/21/2016,127.415,169
106,48068,8/21/2016,181.7866667,170
107,48069,8/21/2016,136.595,171
108,48070,8/21/2016,20.57,172
