,ID,DateRun,AvgAge,HEX_OID
0,135211,9/27/2016,26.044,1
1,135212,9/27/2016,40.57333333,2
2,135213,9/27/2016,30.48666667,3
3,135214,9/27/2016,37.74,4
4,135215,9/27/2016,49.215,6
5,135216,9/27/2016,27.2,15
6,135217,9/27/2016,30.6,18
7,135218,9/27/2016,10.2,19
8,135219,9/27/2016,45.9,20
9,135220,9/27/2016,51.34,23
10,135221,9/27/2016,238.34,27
11,135222,9/27/2016,103.36,28
12,135223,9/27/2016,29.92,29
13,135224,9/27/2016,92.14,30
14,135225,9/27/2016,109.14,31
15,135226,9/27/2016,18.36,32
16,135227,9/27/2016,29.92,33
17,135228,9/27/2016,60.86,35
18,135229,9/27/2016,35.02,39
19,135230,9/27/2016,55.68444444,41
20,135231,9/27/2016,41.93333333,42
21,135232,9/27/2016,32.64,43
22,135233,9/27/2016,0.68,44
23,135234,9/27/2016,30.6,45
24,135235,9/27/2016,32.64,50
25,135236,9/27/2016,59.5,52
26,135237,9/27/2016,16.83,58
27,135238,9/27/2016,46.104,59
28,135239,9/27/2016,46.92,60
29,135240,9/27/2016,4.76,62
30,135241,9/27/2016,60.86,63
31,135242,9/27/2016,136.68,64
32,135243,9/27/2016,79.9,67
33,135244,9/27/2016,40.12,69
34,135245,9/27/2016,76.5,70
35,135246,9/27/2016,86.36,71
36,135247,9/27/2016,23.12,72
37,135248,9/27/2016,5.44,74
38,135249,9/27/2016,112.88,75
39,135250,9/27/2016,146.2,81
40,135251,9/27/2016,72.59,82
41,135252,9/27/2016,61.71,83
42,135253,9/27/2016,15.13,87
43,135254,9/27/2016,23.12,90
44,135255,9/27/2016,123.845,92
45,135256,9/27/2016,66.096,95
46,135257,9/27/2016,59.976,96
47,135258,9/27/2016,27.472,97
48,135259,9/27/2016,147.56,98
49,135260,9/27/2016,137.36,101
50,135261,9/27/2016,58.616,102
51,135262,9/27/2016,39.89333333,103
52,135263,9/27/2016,167.0533333,105
53,135264,9/27/2016,193.46,106
54,135265,9/27/2016,4.08,107
55,135266,9/27/2016,21.76,108
56,135267,9/27/2016,15.232,109
57,135268,9/27/2016,8.16,111
58,135269,9/27/2016,2.04,112
59,135270,9/27/2016,81.82666667,114
60,135271,9/27/2016,135.5466667,117
61,135272,9/27/2016,37.59428571,119
62,135273,9/27/2016,73.44,124
63,135274,9/27/2016,106.5333333,125
64,135275,9/27/2016,50.62909091,126
65,135276,9/27/2016,72.76,127
66,135277,9/27/2016,51.45333333,128
67,135278,9/27/2016,23.41142857,129
68,135279,9/27/2016,37.944,130
69,135280,9/27/2016,50.05846154,131
70,135281,9/27/2016,69.92666667,132
71,135282,9/27/2016,100.47,133
72,135283,9/27/2016,8.67,135
73,135284,9/27/2016,10.88,136
74,135285,9/27/2016,14.824,137
75,135286,9/27/2016,5.44,139
76,135287,9/27/2016,37.74,140
77,135288,9/27/2016,50.70857143,141
78,135289,9/27/2016,92.48,142
79,135290,9/27/2016,59.38666667,143
80,135291,9/27/2016,60.52,145
81,135292,9/27/2016,83.07333333,146
82,135293,9/27/2016,72.64666667,148
83,135294,9/27/2016,27.2,149
84,135295,9/27/2016,34.408,151
85,135296,9/27/2016,63.24,152
86,135297,9/27/2016,117.98,153
87,135298,9/27/2016,11.9,154
88,135299,9/27/2016,145.775,155
89,135300,9/27/2016,25.74285714,156
