FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",11,50,1211,82,3,1357,0.6,2.2,4.1,3.7,0.5,3.7
29,"CD102, Manhattan",12,59,1549,112,0,1732,0.7,2.6,5.3,5.0,0.0,4.8
30,"CD103, Manhattan",23,33,685,49,16,806,1.3,1.5,2.3,2.2,2.8,2.2
21,"CD104, Manhattan",33,49,1146,120,2,1350,1.8,2.2,3.9,5.4,0.4,3.7
13,"CD105, Manhattan",27,71,3165,204,6,3473,1.5,3.1,10.8,9.2,1.1,9.6
31,"CD106, Manhattan",10,17,1147,52,5,1231,0.5,0.8,3.9,2.3,0.9,3.4
20,"CD107, Manhattan",13,47,1366,70,3,1499,0.7,2.1,4.7,3.1,0.5,4.1
42,"CD108, Manhattan",19,56,1787,109,17,1988,1.0,2.5,6.1,4.9,3.0,5.5
60,"CD109, Manhattan",3,23,479,36,2,543,0.2,1.0,1.6,1.6,0.4,1.5
70,"CD110, Manhattan",8,28,369,32,1,438,0.4,1.2,1.3,1.4,0.2,1.2
48,"CD111, Manhattan",18,21,371,32,1,443,1.0,0.9,1.3,1.4,0.2,1.2
71,"CD112, Manhattan",5,12,421,26,2,466,0.3,0.5,1.4,1.2,0.4,1.3
18,"CD164, Manhattan",0,0,8,5,0,13,0.0,0.0,0.0,0.2,0.0,0.0
41,"CD201, Bronx",18,9,203,31,8,269,1.0,0.4,0.7,1.4,1.4,0.7
44,"CD202, Bronx",14,5,124,11,2,156,0.8,0.2,0.4,0.5,0.4,0.4
53,"CD203, Bronx",15,8,147,29,3,202,0.8,0.4,0.5,1.3,0.5,0.6
32,"CD204, Bronx",15,17,215,22,4,273,0.8,0.8,0.7,1.0,0.7,0.8
62,"CD205, Bronx",11,5,149,22,6,193,0.6,0.2,0.5,1.0,1.1,0.5
63,"CD206, Bronx",19,9,170,15,11,224,1.0,0.4,0.6,0.7,2.0,0.6
36,"CD207, Bronx",24,7,203,19,11,264,1.3,0.3,0.7,0.9,2.0,0.7
24,"CD208, Bronx",18,16,211,26,7,278,1.0,0.7,0.7,1.2,1.2,0.8
45,"CD209, Bronx",21,21,292,56,4,394,1.1,0.9,1.0,2.5,0.7,1.1
59,"CD210, Bronx",13,17,200,4,1,235,0.7,0.8,0.7,0.2,0.2,0.6
50,"CD211, Bronx",16,9,187,33,4,249,0.9,0.4,0.6,1.5,0.7,0.7
58,"CD212, Bronx",30,31,249,16,13,339,1.6,1.4,0.8,0.7,2.3,0.9
33,"CD226, Bronx",0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
