address,status,street,borough,zip,cb,cwz,bbl
"141-19 224 STREET,QUEENS 11413",OK,141-19 224 STREET,QUEENS,11413,413,QN4,40.669272,,-73.751402,,4131520035
"2023 PACIFIC STREET,BROOKLYN 11233",OK,2023 PACIFIC STREET,BROOKLYN,11233,316,BK3,40.676107,,-73.921328,,3014310054
"1518 86TH ST,BROOKLYN 11228",OK,1518 86 STREET,BROOKLYN,11228,311,BK4,40.611129,,-74.009073,,3063600044
"100 Church Street,MANHATTAN 10007",OK,100 CHURCH STREET,MANHATTAN,10007,101,MN1A,40.712968,,-74.00949,,1001250020
"1909 LONGFELLOW AVENUE,BRONX 10460",OK,1909 LONGFELLOW AVENUE,BRONX,10460,206,BX1,40.839111,,-73.88214,,2030047501
"4035 WHITE PLAINS ROAD,BRONX 10466",OK,4035 WHITE PLAINS ROAD,BRONX,10466,212,BX2,40.889536,,-73.859522,,2048290006
"252-20 NORTHERN BOULEVARD,QUEENS 11362",OK,252-20 NORTHERN BOULEVARD,QUEENS,11362,411,QN3,40.769974,,-73.736051,,4082290006
"369 3RD AVE,MANHATTAN 10016",OK,369 3 AVENUE,MANHATTAN,10016,106,MN2,40.741131,,-73.981459,,1009070056
"75-43 PARSONS BLVD,QUEENS 11366",OK,75-43 PARSONS BOULEVARD,QUEENS,11366,408,QN3,40.725581,,-73.810675,,4068240001
"99-17 63 ROAD,QUEENS 11374",OK,99-17 63 ROAD,QUEENS,11374,406,QN2,40.73257,,-73.856685,,4021100056
"810 FLUSHING AVENUE,BROOKLYN 11206",OK,810 FLUSHING AVENUE,BROOKLYN,11206,304,BK1,40.701211,,-73.939775,,3031317501
"43-23 COLDEN STREET,QUEENS 11355",OK,43-23 COLDEN STREET,QUEENS,11355,407,QN3,40.752536,,-73.824981,,4051370005
"1972 EAST 34TH STREET,BROOKLYN 11234",OK,1972 EAST   34 STREET,BROOKLYN,11234,318,BK3,40.60935,,-73.933418,,3085000077
"2505 AQUEDUCT AVENUE,BRONX 10468",OK,2505 AQUEDUCT AVENUE,BRONX,10468,207,BX1,40.865194,,-73.90229,,2032140066
"279-281 EAST BURNSIDE AVENUE,BRONX 10457",OK,279-281 EAST BURNSIDE AVENUE,BRONX,10457,205,BX1,40.851154,,-73.901891,,2031560081
"2901 WHITE PLAINS ROAD,BRONX 10467",OK,2901 WHITE PLAINS ROAD,BRONX,10467,211,BX2,40.868024,,-73.867283,,2045420001
"5721 6TH  AVENUE,BROOKLYN 11220",OK,5721 6 AVENUE,BROOKLYN,11220,307,BK2,40.639688,,-74.012355,,3008490001
"184 ELDRIDGE STREET,MANHATTAN 10002",OK,184 ELDRIDGE STREET,MANHATTAN,10002,103,MN2,40.720653,,-73.990674,,1004150018
"3223 INDEPENDENCE AVENUE,BRONX 10463",OK,3223 INDEPENDENCE AVENUE,BRONX,10463,208,BX1,40.885591,,-73.914968,,2059010001
"35-01 24 STREET,QUEENS 11106",OK,35-01 24 STREET,QUEENS,11106,401,QN1,40.760172,,-73.932899,,4003380023
"844 DEKALB AVENUE,BROOKLYN 11221",OK,844 DEKALB AVENUE,BROOKLYN,11221,303,BK1,40.692423,,-73.942155,,3017820010
"454-78 152ND STREET,QUEENS 11357",REJECTED
"60 CATHERINE STREET,MANHATTAN 10038",OK,60 CATHERINE STREET,MANHATTAN,10038,103,MN2,40.711566,,-73.99684,,1001110100
"125 WEST 109 STREET,MANHATTAN 10025",OK,125 WEST  109 STREET,MANHATTAN,10025,107,MN5,40.801565,,-73.962367,,1018640009
"258 WEST 26TH STREET,MANHATTAN 10001",OK,258 WEST   26 STREET,MANHATTAN,10001,104,MN5,40.746743,,-73.996023,,1007757502
"20090 Borden  Avenue,QUEENS 11101",OK,20090 BORDEN AVENUE,QUEENS,11101,402,QN1,40.740477,,-73.950129,,:
"100 JEROME AVENUE,STATEN ISLAND 10305",OK,100 JEROME AVENUE,STATEN IS,10305,502,SI1,40.596087,,-74.076032,,5032470020
"1169 43RD STREET,BROOKLYN 11219",OK,1169 43 STREET,BROOKLYN,11219,312,BK4,40.640281,,-73.991741,,3055970053
"631 East 18th Street,BROOKLYN 11226",OK,631 EAST   18 STREET,BROOKLYN,11226,314,BK5,40.635617,,-73.960443,,3052187501
"29-49 GILLMORE STREET,QUEENS 11369",OK,29-49 GILLMORE STREET,QUEENS,11369,403,QN2,40.761875,,-73.864918,,4016690038
"3415 NEPTUNE AVENUE,BROOKLYN 11224",OK,3415 NEPTUNE AVENUE,BROOKLYN,11224,313,BK5,40.578029,,-74.003218,,3069790100
"193-04 JAMAICA AVENUE,QUEENS 11423",OK,193-04 JAMAICA AVENUE,QUEENS,11423,412,QN4,40.71312,,-73.767251,,4108210038
"299 COURT ST,BROOKLYN 11231",OK,299 COURT STREET,BROOKLYN,11231,306,BK2,40.683951,,-73.995122,,3004140002
"841 OCEAN PKWY.,BROOKLYN 11230",OK,841 OCEAN PARKWAY,BROOKLYN,11230,312,BK4,40.627929,,-73.971165,,3065090064
"36 SAINT FELIX STREET,BROOKLYN 11217",OK,36 SAINT FELIX STREET,BROOKLYN,11217,302,BK2,40.688771,,-73.977748,,3020960047
"412 KINGS HIGHWAY,BROOKLYN 11223",OK,412 KINGS HIGHWAY,BROOKLYN,11223,311,BK4,40.604473,,-73.974795,,3066787501
"560 WEST 113 STREET,MANHATTAN 10025",OK,560 WEST  113 STREET,MANHATTAN,10025,109,MN7,40.805724,,-73.964489,,1018840058
"101 WEST 85 STREET,MANHATTAN 10024",OK,101 WEST   85 STREET,MANHATTAN,10024,107,MN5,40.785992,,-73.973094,,1012160027
"52 EAST 62 STREET,MANHATTAN 10065",OK,52 EAST   62 STREET,MANHATTAN,10065,108,MN6,40.765222,,-73.969478,,1013760042
"1187 NOSTRAND AVENUE,BROOKLYN 11225",OK,1187 NOSTRAND AVENUE,BROOKLYN,11225,309,BK3,40.65835,,-73.95037,,3048140007
"331 East 150 Street,BRONX 10451",OK,331 EAST  150 STREET,BRONX,10451,201,BX1,40.817477,,-73.9202,,2024100056
"75-02 51 AVENUE,QUEENS 11373",OK,75-02 51 AVENUE,QUEENS,11373,404,QN2,40.736566,,-73.888557,,4024670024
"941 HUTCHINSON RIVER PARKWAY,BRONX 10465",OK,941 HUTCHINSON RIVER PARKWAY,BRONX,10465,210,BX2,40.826002,,-73.836755,,2055420001
"1595 LEXINGTON  AVENUE,MANHATTAN 10029",OK,1595 LEXINGTON AVENUE,MANHATTAN,10029,111,MN6,40.789291,,-73.94842,,1016297502
"6363 AVENUE U,BROOKLYN 11234",OK,6363 AVENUE U,BROOKLYN,11234,318,BK3,40.616209,,-73.912697,,3084060035
"109 EAST 50 STREET,MANHATTAN 10022",OK,109 EAST   50 STREET,MANHATTAN,10022,105,MN4,40.75687,,-73.973221,,1013050001
"64-41 UTOPIA PKWY.,QUEENS 11365",OK,64-41 UTOPIA PARKWAY,QUEENS,11365,408,QN3,40.737238,,-73.793036,,4070830001
"170-10 130 AVENUE,QUEENS 11434",OK,170-10 130 AVENUE,QUEENS,11434,412,QN4,40.676601,,-73.771517,,4124950002
"7501 31ST AVE,QUEENS 11370",OK,7501 31 AVENUE,QUEENS,11370,403,QN2,40.758572,,-73.89239,,4011240001
"400 West 63 street,MANHATTAN 10069",OK,400 WEST   63 STREET,MANHATTAN,10069,107,MN5,40.774664,,-73.989952,,1011710148
"125 5TH AVENUE,BROOKLYN 11217",OK,125 5 AVENUE,BROOKLYN,11217,306,BK2,40.6788,,-73.978833,,3009440006
"8416 19 AVENUE,BROOKLYN 11214",OK,8416 19 AVENUE,BROOKLYN,11214,311,BK4,40.606954,,-73.999409,,3063320042
"2813 FARRAGUT ROAD,BROOKLYN 11210",OK,2813 FARRAGUT ROAD,BROOKLYN,11210,314,BK5,40.636175,,-73.949702,,3052300003
"1646 MONTGOMERY AVENUE,BRONX 10453",OK,1646 MONTGOMERY AVENUE,BRONX,10453,205,BX1,40.848772,,-73.92005,,2028780028
"300 MANHATTAN AVENUE,MANHATTAN 10026",OK,300 MANHATTAN AVENUE,MANHATTAN,10026,110,MN7,40.80286,,-73.958408,,1018470039
"63-25 DRY HARBOR ROAD,QUEENS 11379",OK,63-25 DRY HARBOR ROAD,QUEENS,11379,405,QN2,40.721488,,-73.873914,,4029930012
"800 CONCOURSE VILLAGE EAST,BRONX 10451",OK,800 CONCOURSE VILLAGE EAST,BRONX,10451,204,BX1,40.82388,,-73.919379,,2024200040
"61 HAVEN AVE.,MANHATTAN 10032",OK,61 HAVEN AVENUE,MANHATTAN,10032,112,MN7,40.843645,,-73.942776,,1021390144
"39-50 DOUGLASTON PARKWAY,QUEENS 11363",OK,39-50 DOUGLASTON PARKWAY,QUEENS,11363,411,QN3,40.770345,,-73.749982,,4080820280
"344 EAST 14 STREET,MANHATTAN 10003",OK,344 EAST   14 STREET,MANHATTAN,10003,103,MN2,40.731566,,-73.983096,,1004550029
"554 FORT WASHINGTON AVENUE,MANHATTAN 10033",OK,554 FORT WASHINGTON AVENUE,MANHATTAN,10033,112,MN7,40.853907,,-73.937258,,1021800035
"225 EAST 38TH STREET,MANHATTAN 10016",OK,225 EAST   38 STREET,MANHATTAN,10016,106,MN2,40.747772,,-73.975137,,1009190014
"803 Knickerbocker Avenue,BROOKLYN 11207",OK,803 KNICKERBOCKER AVENUE,BROOKLYN,11207,304,BK1,40.692647,,-73.907501,,3034130005
"2090 1 AVENUE,MANHATTAN 10029",OK,2090 1 AVENUE,MANHATTAN,10029,111,MN6,40.790999,,-73.939047,,1017010001
"12 Newell Street,BROOKLYN 11222",OK,12 NEWELL STREET,BROOKLYN,11222,301,BK1,40.723378,,-73.946555,,3026840042
"2075 JEROME AVENUE,BRONX 10453",OK,2075 JEROME AVENUE,BRONX,10453,205,BX1,40.854455,,-73.906774,,2031920060
"1395 LEXINGTON AVENUE,MANHATTAN 10128",OK,1395 LEXINGTON AVENUE,MANHATTAN,10128,108,MN6,40.783051,,-73.952978,,1015200050
"606 WEST   57 STREET,MANHATTAN 10019",OK,606 WEST   57 STREET,MANHATTAN,10019,104,MN5,40.770531,,-73.991945,,1011040031
"170 BROWN PLACE,BRONX 10454",OK,170 BROWN PLACE,BRONX,10454,201,BX1,40.806381,,-73.921149,,2022630001
"30 WEST 68TH STREET,MANHATTAN 10023",OK,30 WEST   68 STREET,MANHATTAN,10023,107,MN5,40.774207,,-73.979153,,1011200044
