year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,202,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,1,,,1.00000000000000000000
2010,BRONX,202,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,3,,,3.6666666666666667
2010,BRONX,202,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,3,,,6.3333333333333333
2010,BRONX,202,Sanitation Condition,12 Dead Animals,Closed,37,,,0.62162162162162162162
2010,BRONX,202,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,215,,,0.99534883720930232558
2010,BRONX,202,Sanitation Condition,22 Weeds,Closed,3,,,2.6666666666666667
2010,BRONX,202,snow,15I Street Condition Ice-Non Storm,Closed,3,,,0.33333333333333333333
2010,BRONX,202,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,3,,,1.3333333333333333
2010,BRONX,202,snow,E9 Snow / Icy Sidewalk,Closed,2,,,10.5000000000000000
2010,BRONX,202,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,2,,,1.5000000000000000
2010,BRONX,202,Vacant Lot,8 Request to Clean Vacant Lot,Closed,16,,,30.5000000000000000
2010,BRONX,203,Adopt-A-Basket,10A Adopt-A-Basket,Closed,3,,,0.66666666666666666667
2010,BRONX,203,Derelict Vehicles,Derelict Vehicles,Closed,85,,,1.5882352941176471
2010,BRONX,203,Dirty Conditions,E1 Improper Disposal,Closed,29,,,2.8965517241379310
2010,BRONX,203,Dirty Conditions,E11 Litter Surveillance,Closed,5,,,3.0000000000000000
2010,BRONX,203,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,24,,,8.5000000000000000
2010,BRONX,203,Dirty Conditions,E13 Throw-Out,Closed,1,,,5.0000000000000000
2010,BRONX,203,Dirty Conditions,E15 Illegal Postering,Closed,124,,,2.3951612903225806
2010,BRONX,203,Dirty Conditions,E1A Litter Basket / Improper Use,Closed,1,,,2.0000000000000000
2010,BRONX,203,Dirty Conditions,E2 Receptacle Violation,Closed,5,,,1.2000000000000000
2010,BRONX,203,Dirty Conditions,E3 Dirty Sidewalk,Closed,32,,,4.8437500000000000
2010,BRONX,203,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,46,,,5.5217391304347826
2010,BRONX,203,Dirty Conditions,"E4 18"" Law",Closed,6,,,3.8333333333333333
2010,BRONX,203,Dirty Conditions,E5 Loose Rubbish,Closed,4,,,2.5000000000000000
2010,BRONX,203,Dirty Conditions,E8 Canine Violation,Closed,29,,,3.0344827586206897
2010,BRONX,203,Graffiti,Graffiti,Closed,406,,,65.0738916256157635
2010,BRONX,203,Graffiti,Graffiti,Open,3,4253.3333333333333333,,
2010,BRONX,203,Litter Basket Complaint,10 Litter Basket / Request,Closed,19,,,2.5263157894736842
2010,BRONX,203,Missed Collection,1 Missed Collection,Closed,78,,,0.93589743589743589744
2010,BRONX,203,Missed Collection,1R Missed Recycling-All Materials,Closed,13,,,1.1538461538461538
2010,BRONX,203,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,5,,,1.4000000000000000
2010,BRONX,203,Missed Collection,1RG Missed Recycling Paper,Closed,12,,,1.2500000000000000
2010,BRONX,203,Missed Collection,2 Bulk-Missed Collection,Closed,16,,,0.93750000000000000000
2010,BRONX,203,Missed Collection,2R Bulk-Missed Recy Collection,Closed,1,,,3.0000000000000000
2010,BRONX,203,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,2,,,1.5000000000000000
2010,BRONX,203,Other Enforcement,E14 ASP/Restricted Parking,Closed,1,,,0.00000000000000000000
2010,BRONX,203,Other Enforcement,E2A Storage Of Receptacles,Closed,13,,,4.0769230769230769
2010,BRONX,203,Other Enforcement,E6 Commercial Waste Disposal,Closed,4,,,3.0000000000000000
2010,BRONX,203,Other Enforcement,ECR Commercial Routing Sticker,Closed,1,,,4.0000000000000000
2010,BRONX,203,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,5,,,1.00000000000000000000
2010,BRONX,203,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,3,,,4.0000000000000000
2010,BRONX,203,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,2,,,4.0000000000000000
2010,BRONX,203,Recycling Enforcement,ER4 City Agency (Inst. Recycling),Closed,1,,,26.0000000000000000
2010,BRONX,203,Sanitation Condition,12 Dead Animals,Closed,58,,,0.70689655172413793103
2010,BRONX,203,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,193,,,1.3782383419689119
2010,BRONX,203,Sanitation Condition,22 Weeds,Closed,2,,,2.5000000000000000
2010,BRONX,203,snow,15I Street Condition Ice-Non Storm,Closed,2,,,0.00000000000000000000
2010,BRONX,203,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,4,,,0.25000000000000000000
2010,BRONX,203,snow,E9 Snow / Icy Sidewalk,Closed,10,,,3.5000000000000000
2010,BRONX,203,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,1,,,0.00000000000000000000
2010,BRONX,203,Vacant Lot,8 Request to Clean Vacant Lot,Closed,34,,,17.1764705882352941
2010,BRONX,204,Adopt-A-Basket,10A Adopt-A-Basket,Closed,3,,,1.00000000000000000000
2010,BRONX,204,Derelict Vehicles,14 Derelict Vehicles,Closed,1,,,0.00000000000000000000
2010,BRONX,204,Derelict Vehicles,Derelict Vehicles,Closed,84,,,2.1428571428571429
2010,BRONX,204,Dirty Conditions,E1 Improper Disposal,Closed,18,,,5.6111111111111111
2010,BRONX,204,Dirty Conditions,E11 Litter Surveillance,Closed,5,,,4.0000000000000000
2010,BRONX,204,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,17,,,10.1176470588235294
2010,BRONX,204,Dirty Conditions,E13 Throw-Out,Closed,3,,,5.3333333333333333
2010,BRONX,204,Dirty Conditions,E15 Illegal Postering,Closed,205,,,2.7658536585365854
2010,BRONX,204,Dirty Conditions,E1A Litter Basket / Improper Use,Closed,4,,,4.5000000000000000
2010,BRONX,204,Dirty Conditions,E2 Receptacle Violation,Closed,3,,,1.00000000000000000000
2010,BRONX,204,Dirty Conditions,E3 Dirty Sidewalk,Closed,50,,,4.2000000000000000
2010,BRONX,204,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,36,,,3.7500000000000000
2010,BRONX,204,Dirty Conditions,"E4 18"" Law",Closed,3,,,4.0000000000000000
2010,BRONX,204,Dirty Conditions,E5 Loose Rubbish,Closed,3,,,6.0000000000000000
2010,BRONX,204,Dirty Conditions,E8 Canine Violation,Closed,44,,,1.3863636363636364
