year,borough,complaint_type,status_cal,count,avg,avg,avg
2010,Unspecified,Litter Basket Complaint,Closed,21,,,1.8571428571428571
2010,Unspecified,Missed Collection,Closed,7,,,1.1428571428571429
2010,Unspecified,Other Enforcement,Closed,5,,,5.2000000000000000
2010,Unspecified,Overflowing Litter Baskets,Closed,7,,,1.00000000000000000000
2010,Unspecified,Sanitation Condition,Closed,132,,,1.8560606060606061
2010,Unspecified,snow,Closed,64,,,2.5468750000000000
2010,Unspecified,Sweeping Complaint,Closed,6,,,2.0000000000000000
2010,Unspecified,Vacant Lot,Closed,129,,,32.1472868217054264
2010,Unspecified,Vacant Lot,Open,10,4333.9000000000000000,,
2010,,Derelict Vehicles,Closed,533,,,1.8198874296435272
2011,BRONX,Adopt-A-Basket,Closed,8,,,3.1250000000000000
2011,BRONX,Collection Truck Noise,Closed,8,,,1.7500000000000000
2011,BRONX,Derelict Vehicles,Closed,1603,,,2.2682470368059888
2011,BRONX,Dirty Conditions,Closed,6081,,,7.5837855615852656
2011,BRONX,Graffiti,Closed,3174,,,68.8090737240075614
2011,BRONX,Graffiti,Open,392,3932.6785714285714286,3682.6666666666666667,
2011,BRONX,Litter Basket Complaint,Closed,340,,,1.8441176470588235
2011,BRONX,Missed Collection,Closed,1736,,,1.5737327188940092
2011,BRONX,Other Enforcement,Closed,343,,,2.3265306122448980
2011,BRONX,Overflowing Litter Baskets,Closed,123,,,1.2032520325203252
2011,BRONX,Recycling Enforcement,Closed,76,,,5.3815789473684211
2011,BRONX,Sanitation Condition,Closed,2895,,,1.5160621761658031
2011,BRONX,snow,Closed,1296,,,3.5895061728395062
2011,BRONX,Sweeping Complaint,Closed,105,,,1.5904761904761905
2011,BRONX,Vacant Lot,Closed,277,,,25.0216606498194946
2011,BRONX,Vacant Lot,Open,2,4062.5000000000000000,,
2011,BROOKLYN,Adopt-A-Basket,Closed,4,,,1.5000000000000000
2011,BROOKLYN,Collection Truck Noise,Closed,41,,,2.0000000000000000
2011,BROOKLYN,Derelict Bicycle,Closed,172,,,2.2732558139534884
2011,BROOKLYN,Derelict Vehicles,Closed,3848,,,1.7146569646569647
2011,BROOKLYN,Derelict Vehicles,Open,2,3955.5000000000000000,,
2011,BROOKLYN,Dirty Conditions,Closed,11313,,,12.8662600548042075
2011,BROOKLYN,Dirty Conditions,Open,1,3872.0000000000000000,,
2011,BROOKLYN,Graffiti,Closed,4322,,,45.6758445164275798
2011,BROOKLYN,Graffiti,Open,387,3923.4857881136950904,3593.4181818181818182,
2011,BROOKLYN,Litter Basket Complaint,Closed,1022,,,2.3287671232876712
2011,BROOKLYN,Litter Basket Complaint,Open,1,3914.0000000000000000,,
2011,BROOKLYN,Missed Collection,Closed,5536,,,1.7801661849710983
2011,BROOKLYN,Other Enforcement,Closed,1413,,,5.4932767162066525
2011,BROOKLYN,Overflowing Litter Baskets,Closed,449,,,1.3518930957683742
2011,BROOKLYN,Recycling Enforcement,Closed,291,,,15.8659793814432990
2011,BROOKLYN,Sanitation Condition,Closed,9319,,,1.8155381478699431
2011,BROOKLYN,snow,Closed,4138,,,7.4260512324794587
2011,BROOKLYN,Sweeping Complaint,Closed,968,,,1.6807851239669421
2011,BROOKLYN,Vacant Lot,Closed,662,,,25.1148036253776435
2011,BROOKLYN,Vacant Lot,Open,15,4025.4666666666666667,,
2011,MANHATTAN,Adopt-A-Basket,Closed,4,,,1.7500000000000000
2011,MANHATTAN,Collection Truck Noise,Closed,46,,,1.7391304347826087
2011,MANHATTAN,Derelict Bicycle,Closed,190,,,1.9842105263157895
2011,MANHATTAN,Derelict Vehicles,Closed,298,,,2.2852348993288591
2011,MANHATTAN,Dirty Conditions,Closed,4459,,,6.7936757120430590
2011,MANHATTAN,Graffiti,Closed,3100,,,58.4919354838709677
2011,MANHATTAN,Graffiti,Open,189,4016.6084656084656085,2793.0000000000000000,
2011,MANHATTAN,Litter Basket Complaint,Closed,749,,,1.5193591455273698
2011,MANHATTAN,Missed Collection,Closed,1558,,,1.0487804878048780
2011,MANHATTAN,Other Enforcement,Closed,1066,,,2.6266416510318949
2011,MANHATTAN,Overflowing Litter Baskets,Closed,220,,,1.3272727272727273
2011,MANHATTAN,Recycling Enforcement,Closed,289,,,25.3287197231833910
2011,MANHATTAN,Sanitation Condition,Closed,1998,,,1.0605605605605606
2011,MANHATTAN,snow,Closed,843,,,3.5907473309608541
2011,MANHATTAN,Sweeping Complaint,Closed,157,,,1.5222929936305732
2011,MANHATTAN,Vacant Lot,Closed,112,,,21.8660714285714286
2011,MANHATTAN,Vacant Lot,Open,5,3888.6000000000000000,,
2011,QUEENS,Adopt-A-Basket,Closed,8,,,3.3750000000000000
2011,QUEENS,Collection Truck Noise,Closed,23,,,1.8695652173913043
2011,QUEENS,Derelict Bicycle,Closed,44,,,4.2045454545454545
2011,QUEENS,Derelict Vehicles,Closed,3701,,,1.6263172115644420
2011,QUEENS,Derelict Vehicles,Open,1,3908.0000000000000000,,
2011,QUEENS,Dirty Conditions,Closed,12669,,,10.7413371221090852
2011,QUEENS,Graffiti,Closed,3530,,,53.7892351274787535
2011,QUEENS,Graffiti,Open,417,3945.5083932853717026,3746.8448275862068966,
2011,QUEENS,Litter Basket Complaint,Closed,771,,,2.1841763942931258
2011,QUEENS,Missed Collection,Closed,6465,,,1.7441608662026295
2011,QUEENS,Other Enforcement,Closed,1158,,,5.6951640759930915
2011,QUEENS,Other Enforcement,Open,1,3910.0000000000000000,,
2011,QUEENS,Overflowing Litter Baskets,Closed,465,,,1.4709677419354839
2011,QUEENS,Recycling Enforcement,Closed,247,,,15.7489878542510121
2011,QUEENS,Sanitation Condition,Closed,7826,,,1.8589317659085101
2011,QUEENS,snow,Closed,4065,,,5.4814268142681427
2011,QUEENS,Sweeping Complaint,Closed,498,,,1.7771084337349398
2011,QUEENS,Vacant Lot,Closed,522,,,16.8141762452107280
2011,QUEENS,Vacant Lot,Open,5,3994.8000000000000000,,
2011,STATEN ISLAND,Adopt-A-Basket,Closed,1,,,6.0000000000000000
2011,STATEN ISLAND,Collection Truck Noise,Closed,7,,,1.7142857142857143
2011,STATEN ISLAND,Derelict Bicycle,Closed,2,,,3.5000000000000000
2011,STATEN ISLAND,Derelict Vehicles,Closed,800,,,5.6025000000000000
