year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BRONX,207,Graffiti,Open,6,4417.5000000000000000,,
2010,BRONX,207,Litter Basket Complaint,Closed,26,,,1.2307692307692308
2010,BRONX,207,Missed Collection,Closed,73,,,0.36986301369863013699
2010,BRONX,207,Other Enforcement,Closed,32,,,2.6250000000000000
2010,BRONX,207,Overflowing Litter Baskets,Closed,15,,,0.80000000000000000000
2010,BRONX,207,Recycling Enforcement,Closed,9,,,6.2222222222222222
2010,BRONX,207,Sanitation Condition,Closed,233,,,0.80257510729613733906
2010,BRONX,207,snow,Closed,89,,,2.2584269662921348
2010,BRONX,207,Sweeping Complaint,Closed,5,,,0.60000000000000000000
2010,BRONX,207,Vacant Lot,Closed,17,,,51.7647058823529412
2010,BRONX,207,Vacant Lot,Open,1,4358.0000000000000000,,
2010,BRONX,208,Collection Truck Noise,Closed,1,,,3.0000000000000000
2010,BRONX,208,Derelict Vehicles,Closed,36,,,2.2500000000000000
2010,BRONX,208,Dirty Conditions,Closed,255,,,3.3882352941176471
2010,BRONX,208,Graffiti,Closed,142,,,74.0000000000000000
2010,BRONX,208,Graffiti,Open,12,4306.8333333333333333,,
2010,BRONX,208,Litter Basket Complaint,Closed,26,,,1.4230769230769231
2010,BRONX,208,Missed Collection,Closed,105,,,1.1238095238095238
2010,BRONX,208,Other Enforcement,Closed,35,,,3.2857142857142857
2010,BRONX,208,Overflowing Litter Baskets,Closed,10,,,1.2000000000000000
2010,BRONX,208,Recycling Enforcement,Closed,4,,,3.0000000000000000
2010,BRONX,208,Sanitation Condition,Closed,170,,,1.3235294117647059
2010,BRONX,208,snow,Closed,122,,,2.7540983606557377
2010,BRONX,208,Sweeping Complaint,Closed,11,,,0.72727272727272727273
2010,BRONX,208,Vacant Lot,Closed,16,,,12.8750000000000000
2010,BRONX,209,Adopt-A-Basket,Closed,2,,,2.5000000000000000
2010,BRONX,209,Collection Truck Noise,Closed,1,,,1.00000000000000000000
2010,BRONX,209,Derelict Vehicles,Closed,167,,,2.9461077844311377
2010,BRONX,209,Dirty Conditions,Closed,620,,,3.3016129032258065
2010,BRONX,209,Graffiti,Closed,440,,,62.0659090909090909
2010,BRONX,209,Graffiti,Open,16,4337.0625000000000000,-78.0000000000000000,
2010,BRONX,209,Litter Basket Complaint,Closed,19,,,1.6315789473684211
2010,BRONX,209,Missed Collection,Closed,106,,,1.5094339622641509
2010,BRONX,209,Other Enforcement,Closed,26,,,2.2692307692307692
2010,BRONX,209,Overflowing Litter Baskets,Closed,7,,,1.7142857142857143
2010,BRONX,209,Recycling Enforcement,Closed,8,,,3.2500000000000000
2010,BRONX,209,Sanitation Condition,Closed,371,,,1.3396226415094340
2010,BRONX,209,snow,Closed,64,,,2.5625000000000000
2010,BRONX,209,Sweeping Complaint,Closed,12,,,0.91666666666666666667
2010,BRONX,209,Vacant Lot,Closed,28,,,87.5714285714285714
2010,BRONX,209,Vacant Lot,Open,1,4370.0000000000000000,,
2010,BRONX,210,Derelict Vehicles,Closed,123,,,1.5609756097560976
